Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,ALU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertiesMap(),,public,false,false,,,,,,,2,,,,,,38,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,"checkMap(Map, Map)",,protected,false,false,,,,,,,2,,,,,,9,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testGetIndexedProperty2(),,public,false,false,,,,,,,4,,,,,,16,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertiesDynaBean(),,public,false,false,,,,,,,3,,,,,,48,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,DynaBeanUtilsTestCase(String),,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testGetArrayProperty(),,public,false,false,,,,,,,4,,,,,,16,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testPopulateArrayElements(),,public,false,false,,,,,,,3,,,,,,32,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testPopulateArrayProperties(),,public,false,false,,,,,,,3,,,,,,25,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertyLong(),,public,false,false,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertyNull(),,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertiesStandard(),,public,false,false,,,,,,,2,,,,,,42,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertyNestedSimple(),,public,false,false,,,,,,,1,,,,,,16,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertyFloat(),,public,false,false,,,,,,,1,,,,,,14,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testPopulateMapped(),,public,false,false,,,,,,,3,,,,,,16,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
