Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ALU,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"",,public,false,false,false,,,,,,,,,,,0.0,211,,,,0.0,26,0,0,0,1,,16,0,19,0,0,0,0,0,0,,17,0,0,,0,0,0,2,0,17,14,,27,27,1.0
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_same()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_oneField_double_withinToleranceDown()",,public,false,false,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_compare_descending()",,public,false,false,,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notBlank_String_notOk_null()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_hashCode_Object()",,public,false,false,,,,,,,,1,,,,,,12,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_ByteArray()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notNull_ok()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equalWithTolerance_floats_someTolerance()",,public,false,false,,,,,,,,1,,,,,,18,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"equalIgnoring_nullFirst()",,public,false,false,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"equalIgnoring_nullArray()",,public,false,false,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equalWithTolerance_doubles_zeroTolerance()",,public,false,false,,,,,,,,1,,,,,,14,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_integerType_Person_collectionTypeInvalid()",,public,false,false,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_mapValueTypeTypes_invalidNoGenerics()",,public,false,false,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_ShortArray()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_DoubleArray()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_IntArray()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
