"LD.x","LOC_C.x","MRD.x","NOAIT_C.x","NOAM.x","NOASIT_C.x","NOAU.x","NOBU.x","NOCT.x","NODT_C.x","NODV_C.x","NOECU_C.x","NOEET.x","NOET.x","NOFS_C.x","NOIS_C.x","NOL_C.x","NOM.x","NOMM.x","NOMR_C.x","NONT.x","NOPA.x","NOPT.x","NOPV.x","NORT.x","NPM.x","Nono_C.x","ALU.x","WMC.x","WMCNAMM.x","WOC.x","MAX_CYCLO.x","MIN_CYCLO.x","MEAN_CYCLO.x","LD.y","LOC_C.y","MRD.y","NOAIT_C.y","NOAM.y","NOASIT_C.y","NOAU.y","NOBU.y","NOCT.y","NODT_C.y","NODV_C.y","NOECU_C.y","NOEET.y","NOET.y","NOFS_C.y","NOIS_C.y","NOL_C.y","NOM.y","NOMM.y","NOMR_C.y","NONT.y","NOPA.y","NOPT.y","NOPV.y","NORT.y","NPM.y","Nono_C.y","ALU.y","WMC.y","WMCNAMM.y","WOC.y","MAX_CYCLO.y","MIN_CYCLO.y","MEAN_CYCLO.y","goodTest"
0,66,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,4,0,11,0,"false",11,6,0.545454545454545,1,1,1,0,22,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,"false",3,3,1,1,1,1,0
0,371,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,182,0,1,0,0,0,"false",0,0,NA,1,1,1,0,201,0,184,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"false",3,3,1,1,1,1,0
0,177,0,0,1,0,0,0,0,0,39,0,0,0,3,15,0,16,6,0,0,6,0,10,0,10,0,"false",36,29,0.5625,6,1,2.25,0,199,0,2,1,0,0,0,25,0,50,0,0,0,0,0,0,26,0,0,0,0,0,0,0,25,2,"false",26,25,0.961538461538462,1,1,1,0
0,204,0,0,0,0,0,0,0,0,40,0,0,0,0,19,0,16,0,0,0,0,0,6,0,14,9,"false",41,41,1,5,1,2.47058823529412,0,250,0,38,0,0,0,0,25,0,51,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,27,"false",29,29,1,2,1,1.16,0
0,68,0,0,1,0,0,0,0,0,11,0,0,0,0,4,0,9,3,0,0,1,0,3,0,7,0,"false",13,9,0.555555555555556,3,1,1.44444444444444,0,107,0,2,1,0,0,0,13,0,28,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,2,"false",14,13,0.928571428571429,1,1,1,0
0,149,0.671140939597315,0,3,0,0,0,0,0,27,0,0,0,0,10,0,15,3,1,0,3,0,8,0,12,3,"false",32,26,0.6,8,1,2.30769230769231,0,53,0,4,1,0,0,0,5,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,2,"false",6,5,0.833333333333333,1,1,1,0
0,119,0,0,0,0,0,0,0,0,23,0,0,0,0,7,0,7,0,0,0,0,0,0,0,4,9,"false",19,19,1,9,1,2.5,3.57142857142857,56,0,14,1,0,0,0,4,0,13,0,0,0,0,0,2,6,0,0,0,0,0,0,0,4,4,"false",6,5,0.833333333333333,1,1,1,0
0,40,0,0,3,0,0,0,0,0,2,0,0,0,1,2,0,5,0,0,0,0,0,0,0,4,0,"false",8,5,0.4,4,1,1.5,0,32,0,2,1,0,0,0,3,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,2,"false",4,3,0.75,1,1,1,0
0,194,0,0,1,0,0,0,0,0,20,0,0,0,0,20,0,14,1,0,0,3,0,3,0,6,1,"false",57,55,0.857142857142857,23,1,4.07142857142857,0,197,0,4,1,0,0,0,24,0,48,0,0,0,0,0,0,25,0,0,0,0,0,0,0,24,2,"false",26,25,0.96,2,1,1.04,0
0,47,0,0,2,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,0,0,0,2,0,5,0,"false",8,6,0.6,3,1,1.5,0,33,0,7,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,9,"false",5,5,1,1,1,1,0
